"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1033","1941","Fermata 1941 - RIVALTA","V.SPALATO / V.MODANE","45.05703","7.65098","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1941","","","Europe/Rome","1"
"1034","1942","Fermata 1942 - RIVALTA","V.SPALATO / V.RIVALTA","45.05697","7.65062","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1942","","","Europe/Rome","1"
"1035","1943","Fermata 1943 - MARMOLADA","V.SPALATO N.93","45.05527","7.64972","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1943","","","Europe/Rome","1"
"1036","1944","Fermata 1944 - MARMOLADA","V.SPALATO / P.MARMOLADA","45.05528","7.64944","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1944","","","Europe/Rome","1"
"1037","1945","Fermata 1945 - CARLO ALBERTO","C.VITTORIO EM.II N. 39","45.06163","7.68181","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1945","","","Europe/Rome","1"
"1038","1946","Fermata 1946 - CARLO ALBERTO","C.VITTORIO EM.II N. 48 H","45.0618","7.68164","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1946","","","Europe/Rome","1"
"1039","1947","Fermata 1947 - UMBRIA","V. LIVORNO / V. CEVA","45.08546","7.6689","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1947","","","Europe/Rome","1"
"1040","1948","Fermata 1948 - MADAMA CRISTINA","C.VITTORIO EM.II / V.ACCADEMIA ALBERTINA","45.06053","7.68518","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1948","","","Europe/Rome","1"
"1041","1949","Fermata 1949 - MASSIMO D'AZEGLIO","C.VITTORIO EM.II / C.M.D'AZEGLIO","45.05954","7.68753","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1949","","","Europe/Rome","1"
"1042","195","Fermata 195 - RONDÒ FORCA OVEST","C.REGINA MARGH. / C.P.EUGENIO","45.07933","7.67548","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=195","","","Europe/Rome","1"
"1043","1950","Fermata 1950 - MONCALIERI","C.FIUME DOPO C.MONCALIERI","45.05738","7.69361","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1950","","","Europe/Rome","1"
"1044","1951","Fermata 1951 - MONCALIERI","C.FIUME / C.MONCALIERI","45.05757","7.69366","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1951","","","Europe/Rome","2"
"1045","1952","Fermata 1952 - CRIMEA","C.FIUME / P.ZZA CRIMEA","45.05665","7.69557","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1952","","","Europe/Rome","1"
"1046","1953","Fermata 1953 - CRIMEA","C.FIUME / P.CRIMEA","45.05683","7.69561","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1953","","","Europe/Rome","1"
"1047","1954","Fermata 1954 - ADUA","P.LE ADUA","45.05247","7.70671","2","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1954","","","Europe/Rome","2"
"1048","1955","Fermata 1955 - GROSSETO EST","V.CASTELDELFINO DOPO C.GROSSETO","45.10413","7.67273","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1955","","","Europe/Rome","1"
"1049","1956","Fermata 1956 - SERVAIS  N.158","VIA SERVAIS N.158","45.08421","7.6207","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1956","","","Europe/Rome","1"
"1050","1958","Fermata 1958 - CENNI","C.TORINO DOPO V.CENNI GRUGLIASCO","45.0645","7.60212","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1958","","","Europe/Rome","1"
"1051","1959","Fermata 1959 - CENNI","C.TORINO FRONTE V.CENNI GRUGLIASCO","45.06437","7.60191","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1959","","","Europe/Rome","1"
"1052","196","Fermata 196 - RONDÒ FORCA OVEST","C.REGINA MARGH. DOPO V.CIGNA","45.07957","7.67528","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=196","","","Europe/Rome","1"
"1053","1960","Fermata 1960 - ANTICA DI GRUGLIASCO","C.TORINO N. 155 GRUGLIASCO","45.06403","7.59536","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1960","","","Europe/Rome","1"
"1054","1961","Fermata 1961 - ANTICA DI GRUGLIASCO","C.TORINO DOPO STR.ANT.DI GRUGLIASCO GRUGLIASCO","45.06392","7.59579","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1961","","","Europe/Rome","1"
"1055","1962","Fermata 1962 - CIMITERO GRUGLIASCO","C.TORINO FRONTE CIMITERO GRUGLIASCO","45.06419","7.59134","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1962","","","Europe/Rome","2"
